id,first_name,last_name,position,team_abbr,team_name,quotation,avg_pts,popularity,is_injured,probability_of_playing,opponent_abbr,round_number,started_from_bench,label
11205,Darnelle,Edge,Guard,BLK,Balkan Botevgrad,10.3,0,0,false,1,ULM,2,true,opponent
11206,Javante,Mccoy,Guard,BLK,Balkan Botevgrad,10,0,0,false,1,ULM,2,true,opponent
11207,Travis,Mcconico,Forward,BLK,Balkan Botevgrad,9.4,0,0,false,1,ULM,2,true,opponent
11208,Konstantin,Toshkov,Guard,BLK,Balkan Botevgrad,9,0,0,false,1,ULM,2,true,opponent
11209,Dimitar,Dimitrov,Forward,BLK,Balkan Botevgrad,8.6,0,0,false,1,ULM,2,true,opponent
11210,Ulrich,Chomche,Center,BLK,Balkan Botevgrad,8.2,0,0,false,1,ULM,2,true,opponent
11211,Jamari,Blackmon,Guard,BLK,Balkan Botevgrad,8.1,0,0,false,1,ULM,2,true,opponent
11212,Gael,Bonilla,Forward,BLK,Balkan Botevgrad,8,0,0,false,1,ULM,2,true,opponent
11213,Aleksandar,Stoimenov,Guard,BLK,Balkan Botevgrad,7.8,0,0,false,1,ULM,2,true,opponent
11214,David,Okwera,Center,BLK,Balkan Botevgrad,7.7,0,0,false,1,ULM,2,true,opponent
11215,Alex,Ducas,Guard,BLK,Balkan Botevgrad,7.5,0,0,false,1,ULM,2,true,opponent
11216,Ivan,Alipiev,Forward,BLK,Balkan Botevgrad,7.4,0,0,false,1,ULM,2,true,opponent
11217,Alex,Simeonov,Forward,BLK,Balkan Botevgrad,6.8,0,0,false,1,ULM,2,true,opponent
11218,Andrey,Ivanov,Center,BLK,Balkan Botevgrad,6.7,0,0,false,1,ULM,2,true,opponent
11219,Nikolay,Grozev,Forward,BLK,Balkan Botevgrad,6,0,0,false,1,ULM,2,true,opponent
11220,Bogdan,Karaicic,Head Coach,BLK,Balkan Botevgrad,5,0,0,false,1,ULM,2,true,opponent
11221,Marial,Shayok,Forward,BUD,Buducnost VOLI Podgorica,9.9,0,0,false,1,WKS,2,true,opponent
11222,Emir,Hadzibegovic,Forward,BUD,Buducnost VOLI Podgorica,6.5,0,0,false,1,WKS,2,true,opponent
11223,Dordije,Jovanovic,Forward,BUD,Buducnost VOLI Podgorica,4.8,0,0,false,1,WKS,2,true,opponent
11224,Oleksandr,Kovliar,Guard,BUD,Buducnost VOLI Podgorica,4.7,0,0,false,1,WKS,2,true,opponent
11225,Anthony,Cowan,Guard,COL,Cedevita Olimpija Ljubljana,13,0,0,false,1,BUR,2,true,opponent
11226,Jayce,Johnson,Center,COL,Cedevita Olimpija Ljubljana,9.8,0,0,false,1,BUR,2,true,opponent
11227,Brandon,Murray,Guard,COL,Cedevita Olimpija Ljubljana,9.6,0,0,false,1,BUR,2,true,opponent
11228,Jordan,Gainey,Guard,COL,Cedevita Olimpija Ljubljana,9,0,0,false,1,BUR,2,true,opponent
11229,Tyson,Walker,Guard,JLB,Cosea JL Bourg-en-Bresse,10.3,0,0,false,1,NAP,2,true,opponent
11230,Lionel,Gaudoux,Forward,JLB,Cosea JL Bourg-en-Bresse,9.7,0,0,false,1,NAP,2,true,opponent
11231,Tyrese,Samuel,Forward,JLB,Cosea JL Bourg-en-Bresse,9.5,0,0,false,1,NAP,2,true,opponent
11232,Keith,Jordan,Forward,JLB,Cosea JL Bourg-en-Bresse,9.4,0,0,false,1,NAP,2,true,opponent
